node1,node2,distance,elevation,required,entrance,road_crossing
A,B,470,6,1,,
A,D,220,0,1,,
A,F,45,0,1,,
B,C,274,11,1,,
B,L,276,3,1,,
C,D,220,0,1,,
C,E,61,0,1,,
C,H,143,0,1,,
D,E,235,12,1,,
E,G,137,2,1,,
E,BN,243,17,1,,
F,AZ,195,0,1,,
F,BL,385,32,1,,
G,I,184,2,1,,
G,BO,316,17,1,,
G,H,110,0,1,,
H,K,218,0,1,,
H,L,330,4,1,,
I,BQ,224,11,1,,
I,J,75,0,1,1,
J,K,155,0,0,,
J,BS,106,0,0,,
K,M,351,2,0,,
L,M,125,0,1,1,
L,N,550,0,1,,
M,N,477,14,0,,
M,EP,300,8,0,,
N,O,1760,7,1,,
N,EP,451,7,1,,
O,P,156,5,1,,
O,Q,79,8,1,,
P,Q,258,9,1,,
P,R,326,0,1,,
Q,AZ,1640,54,1,,
Q,W,790,38,1,,
R,S,166,9,1,1,
S,T,232,7,0,,
T,U,482,41,1,,
U,V,126,2,1,1,
U,W,64,0,1,,
U,X,418,13,1,1,
W,Y,360,16,1,,
Y,Z,680,10,1,,
Y,AX,720,12,1,,
Z,AX,286,0,1,,
Z,AW,61,4,1,,
Z,AO,279,3,1,,
AA,AO,231,8,1,,
AA,AB,432,10,1,,
AA,AJ,540,16,1,,
AB,AC,125,4,0,,
AC,AD,282,2,1,,
AD,AE,191,2,1,,
AE,AF,59,6,1,,
AF,AG,163,3,1,,
AF,AH,70,0,1,,
AG,AH,41,0,1,,
AG,AJ,143,2,1,,
AH,AI,109,0,1,1,
AI,AL,530,2,0,,
AJ,AK,147,0,1,,
AJ,AN,158,2,1,1,
AK,AL,249,0,1,1,
AK,AM,365,2,1,,
AL,AM,460,4,0,,
AM,AN,411,11,0,,
AM,AT,463,21,1,,
AM,AR,466,29,1,,
AN,AQ,461,5,0,,
AO,AP,73,3,1,1,
AP,AQ,39,0,0,,
AQ,AR,780,17,1,,
AR,AS,212,3,1,,
AR,AV,316,9,1,,
AS,AT,120,0,0,,
AS,AV,307,7,1,,
AS,AU,198,0,1,,
AT,AU,207,0,1,,
AU,BE,122,6,1,,
AV,BC,292,0,1,,
AV,AW,760,0,1,,
AW,BA,590,16,1,,
AY,AX,165,0,1,,
AY,AZ,177,0,1,,
AY,BA,390,26,1,,
BA,BB,107,9,1,,
BA,BL,479,13,1,,
BB,BC,63,6,1,,
BB,BJ,430,12,1,,
BC,BD,348,10,1,,
BD,BE,409,4,1,,
BD,BI,99,0,1,,
BE,BF,360,12,1,,
BE,CG,196,0,0,,1
BF,BH,173,2,1,,
BF,CF,60,2,0,,1
BF,BG,199,0,1,,
BG,BH,211,11,1,,
BG,CE,82,0,1,,1
BG,CA,468,8,1,,
BH,BI,284,2,1,,
BI,BJ,198,8,1,,
BJ,BK,193,0,1,,
BK,BL,224,0,1,,
BK,BM,113,2,1,,
BL,BN,314,3,1,,
BM,BN,137,2,1,,
BM,CB,550,21,1,,
BN,BO,322,11,1,,
BO,CB,730,19,1,,
BO,BP,31,0,1,,
BP,BQ,66,0,1,,
BP,BV,273,10,1,,
BQ,BR,38,0,1,,
BR,BS,126,0,1,,
BR,BT,14,0,1,,
BT,BU,246,26,1,,
BU,BV,67,5,1,,
BU,BW,170,7,1,,
BV,BX,159,13,1,,
BW,BX,75,11,1,1,
BW,BZ,243,7,0,,
BX,BY,255,2,1,,
BY,BZ,43,0,1,1,
BY,CC,54,0,0,,1
BY,CA,239,10,1,,
BZ,FC,1680,17,0,,
CA,CB,183,6,1,,
CA,CD,83,0,0,,1
CC,EM,284,15,1,,
CC,CD,185,12,0,,
CD,CQ,242,22,1,,
CD,CE,496,6,0,,
CE,CF,234,14,0,,
CE,CP,212,6,1,,
CF,CG,271,0,0,,
CF,CN,236,11,1,,
CF,CP,415,3,1,,
CG,CH,39,0,0,,
CH,CI,140,7,1,1,
CH,CM,194,2,0,,
CI,CJ,120,0,1,,
CI,CN,155,9,1,,
CJ,CM,39,0,1,1,
CJ,CK,74,2,1,,
CK,CN,217,11,1,,
CK,CL,85,0,1,1,
CL,CM,95,2,0,,
CN,CO,560,13,1,,
CO,CP,166,0,1,,
CO,CS,291,3,1,,
CO,CT,372,0,1,,
CP,CQ,396,18,1,,
CQ,CS,118,0,1,,
CQ,EL,171,2,1,,
CR,EL,86,10,1,,
CR,EM,42,4,1,,
CR,EK,43,0,1,,
CR,EN,59,0,1,1,
CS,CT,230,0,1,,
CT,CU,73,0,1,,1
CU,CY,426,8,1,,
CV,CY,294,4,1,,
CV,CW,40,0,1,,
CV,CZ,47,0,1,,
CV,DA,177,2,1,,
CW,CX,232,2,1,1,
CW,DB,226,0,1,,
CX,CY,253,5,0,,
CZ,DA,177,3,1,,
CZ,DH,640,23,1,,
DA,DB,127,0,1,,
DA,DF,300,0,1,,
DB,DE,64,0,1,1,
DB,DC,283,0,1,,
DC,DD,156,0,1,,
DC,DF,80,0,1,,
DD,DE,393,11,0,,
DF,DG,83,0,1,,
DG,EI,40,0,0,,1
DG,DL,770,10,0,,
DH,DL,287,0,1,,
DH,DI,73,0,1,,
DI,DJ,144,4,1,1,
DI,DK,262,0,1,,
DK,DM,151,7,1,,1
DK,DL,277,0,0,,
DL,DP,69,0,1,,1
DM,DO,66,0,1,,
DM,DN,202,0,1,1,
DO,DP,306,2,1,,
DO,DZ,680,2,1,,
DP,DQ,125,0,1,,
DP,DS,246,5,1,,
DQ,DR,247,2,1,,
DQ,EG,750,0,1,,
DR,DS,90,0,1,,
DR,DU,289,0,1,,
DS,DT,287,0,1,,
DT,DU,46,0,1,,
DT,DV,123,0,1,,
DU,DW,204,0,1,,
DV,DW,94,0,1,,
DV,DX,191,0,1,,
DW,ED,88,0,1,,
DX,DY,46,0,1,,
DX,DZ,99,2,1,,
DY,DZ,74,0,1,,
DY,EC,103,0,1,,
DZ,EA,143,0,1,,
EA,EB,88,0,1,1,
EA,EC,86,8,1,,
EC,ED,333,13,1,,
ED,EE,125,3,1,,
EE,EF,101,0,1,1,
EE,EG,139,7,1,,
EG,ER,790,21,1,,
EH,EI,790,48,1,,
EH,ER,145,5,1,,
EH,EJ,30,0,1,1,
EK,EM,20,4,1,,
EK,EO,110,2,1,1,
EL,EM,71,0,1,,
EP,FC,1780,44,0,,1
EQ,ER,196,5,1,,1
EQ,ES,163,3,1,,
ES,ET,161,13,1,,
ES,EU,1170,27,1,,
EU,EV,324,55,1,,
EU,EW,720,0,1,,
EW,EX,172,60,1,,
EW,EY,810,15,1,,
EY,EZ,241,74,1,,
EY,FA,850,46,1,,
FA,FB,620,42,1,,
FB,FC,164,52,1,,
FB,FD,81,3,1,,




